lat,lon,number
43.4355415,-79.8493008,22
43.4358411,-79.8499759,131
43.4362497,-79.8506525,1
43.4363478,-79.8510026,1
43.4369909,-79.8526305,2
45.0428363,-78.5196923,1
45.0428557,-78.5218761,1
45.0435249,-78.5452119,4
45.0437049,-78.5445822,4
45.0437296,-78.5387951,2
45.0438442,-78.5234536,5
45.0440450,-78.5420340,5
45.0441275,-78.5372704,3
45.0442049,-78.5169133,1
45.0450974,-78.5359285,1
45.0451467,-78.5044122,3
45.0452200,-78.5045140,37
45.0452206,-78.5050097,24
45.0452298,-78.5076782,1
45.0452830,-78.5044377,3
45.0453060,-78.5041016,1
45.0453975,-78.5052285,32
45.0454383,-78.5077845,1
45.0457356,-78.5080741,4
45.0458114,-78.5072993,1
45.0462381,-78.5335890,1
45.0463358,-78.5252857,1
45.0467277,-78.5264305,9
45.0468042,-78.5320270,8
45.0468366,-78.5281774,1
45.0469606,-78.5316476,1
45.0472196,-78.5274514,2
45.3333643,-79.2239125,1
45.3336329,-79.2233078,4
45.3341317,-79.2235691,1
45.3386367,-79.2219268,32
